countyfips,year,DS_O3_pred,DS_O3_stdd
1,2016,31.060178214936248,3.449363324225865
1,2017,31.885681354642314,3.526097499238965
1,2018,31.216710859969559,3.494240041856925
1,2019,32.549702907153729,3.527503164383562
1,2020,32.590474876364318,3.601942107501766
3,2016,46.075930601092896,5.308863661202186
3,2017,46.264082191780822,5.390899452054794
3,2018,48.548961643835616,5.491505753424658
3,2019,45.728649315068493,5.244584931506849
3,2020,45.369387978142076,5.25993606557377
5,2016,44.238850546448087,4.48686007893139
5,2017,44.586377473363775,4.550558691019787
5,2018,44.850053576864536,4.58124800608828
5,2019,43.403381430745814,4.457014642313546
5,2020,43.138694262295082,4.50105281420765
7,2016,41.868340131790421,4.340142965820208
7,2017,43.422413537469782,4.46612230459307
7,2018,42.567862369057212,4.458071189900618
7,2019,41.54183164114961,4.347382761214075
7,2020,41.40355332928557,4.389632038048978
9,2016,45.516217595628415,4.683133989071038
9,2017,46.020809589041096,4.755665315068493
9,2018,45.48432301369863,4.742792465753425
9,2019,44.276044383561644,4.61188802739726
9,2020,43.528478727556596,4.61733669008587
11,2016,39.52135087431694,4.346056775956284
11,2017,39.770898082191781,4.433956
11,2018,39.451167123287671,4.398803726027397
11,2019,38.348392876712329,4.257534575342466
11,2020,37.157190346083789,4.247780373406193
13,2016,33.318542265657839,3.625871483554014
13,2017,34.267051923076923,3.713204562697576
13,2018,33.272369612750263,3.66576278451001
13,2019,34.8954958113804,3.704279953898841
13,2020,34.925712888949104,3.782465058935104
15,2016,30.639950429352069,5.152020179547229
15,2017,33.103854403131116,5.367643209393346
15,2018,31.719017612524462,5.189687005870842
15,2019,30.421637573385519,4.978949823874755
15,2020,29.530001214329083,4.942952550091075
17,2016,45.756663845469564,4.527357491422036
17,2017,45.538999936285441,4.582047550175215
17,2018,46.569294424976107,4.679952188595094
17,2019,44.34190468302007,4.505799770627588
17,2020,45.063634724292101,4.600997665176354
19,2016,48.18180442238515,4.297295422467529
19,2017,49.248878804983823,4.420089167756591
19,2018,47.692095794038687,4.347457027603772
19,2019,45.841689006677222,4.230096832105734
