countyfips,year,DS_PM_pred,DS_PM_stdd
1,2016,8.17486392911354,3.35844210291439
1,2017,10.596632770167428,4.019370136225266
1,2018,12.783250875190259,4.580397991628615
1,2019,7.565817526636225,2.488658373668189
1,2020,11.294161036377006,3.689032365154202
101,2016,8.02642879260994,3.585171399947957
101,2017,8.826404566210046,3.636826692759296
101,2018,12.571640834964123,5.087904553163731
101,2019,8.432939595564253,3.090353881278539
101,2020,15.72769594067135,5.651084478272183
103,2016,6.049598643815201,3.052665996274218
103,2017,7.775317061021171,3.37276298879203
103,2018,10.83559501867995,4.439830311332503
103,2019,6.089856288916563,2.436033798256538
103,2020,13.184958430913349,5.095389910226386
105,2016,4.784125672131148,2.838068453551913
105,2017,6.73185698630137,3.480061095890411
105,2018,9.02302794520548,4.364135123287671
105,2019,4.650087123287671,2.244679397260274
105,2020,9.88018237704918,4.856586270491803
107,2016,13.410573630376909,6.606284126733922
107,2017,14.931426238145416,6.754923737267299
107,2018,16.258564137688795,6.977716174920969
107,2019,10.701923603793467,4.303709336143309
107,2020,20.633868587192954,8.261931418112367
109,2016,7.405229242424242,3.793610720317933
109,2017,8.589591531755915,4.010011407222914
109,2018,11.363402241594022,4.862189539227895
109,2019,5.422036363636364,2.28139300124533
109,2020,13.274979659987857,5.57991813904068
11,2016,6.275908224043716,2.981666300546448
11,2017,7.291788493150685,3.162103068493151
11,2018,11.151837808219178,4.552683068493151
11,2019,6.749036712328767,2.668331342465753
11,2020,13.411902094717668,5.284362613843352
111,2016,9.069026316371332,3.929079655548185
111,2017,9.533311362736559,3.895888396547628
111,2018,9.37250943067543,3.46288484598939
111,2019,6.854834317839892,2.338480345237153
111,2020,8.135629191832039,2.783657897612885
113,2016,7.811165971611356,3.628426697987472
113,2017,9.336942332108253,3.988233471433344
113,2018,12.674235683260942,5.199889709321751
113,2019,7.689952756431674,2.967659893083862
113,2020,13.708213217857511,5.272549871120734
115,2016,7.892101512490242,3.576222738095238
115,2017,8.532110371819961,3.558675283757339
115,2018,11.608505675146771,4.688448943248532
115,2019,8.01675205479452,2.957351898238748
115,2020,15.21340020132298,5.525365530629853
