countyfips,DS_PM_pred,DS_PM_stdd
1,10.095239860894213,3.627715254816647
101,10.718291831521881,4.2107146813668
103,9.015758251474404,3.753104458645907
105,6.894584442923937,3.502783164556962
107,15.517773282956164,6.68321301465158
109,9.671643273313032,4.272706525442429
11,9.147885385748868,3.790137778128618
111,8.584241138653337,3.272457402518826
113,10.436496028575392,4.270373991223092
115,10.585130770213076,4.159472789331582
13,10.545637636956632,3.922337678999134
15,7.281131077583019,3.871375754012277
17,7.861665919134932,3.201081521825612
19,14.176789645366119,5.324745618712961
21,9.859770301864204,4.235746733367539
23,7.096541763673999,3.730685558186858
25,9.433222043683569,4.031476122540922
27,6.67685436325488,2.794711484583105
29,12.533500595497529,5.088854830562858
3,6.623338806787083,2.938604575807334
31,14.688342779516863,5.819294559683421
33,7.86159985068072,3.30599938954765
35,7.579007851365323,3.808171980782096
37,11.515039665077462,4.389488991854781
39,12.788373291636806,4.987636203227138
41,8.862419458675408,3.351063489116455
43,10.087167786900201,4.464930814632366
45,7.718001469582149,3.295963959056941
47,12.391904424862912,4.892851940050926
49,6.975358784893268,3.760558067870826
5,8.86255489321197,3.681367641739544
51,8.997423834445014,3.741778216179237
53,6.370775359641709,2.469681933688634
55,9.121675779419814,3.512081843048714
57,7.898096584572491,3.129581890231309
59,11.653807839066218,4.584103514621972
61,9.371577342658229,3.624198159916887
63,8.553505613417781,3.748792729689577
65,10.182629333314541,4.040373696220788
67,11.019321674460356,4.239547771675937
69,6.836478988906807,2.562873609050481
7,10.568622592840096,4.342972918695306
71,10.781080985169059,4.180593259750728
73,9.823647673338174,4.148434190652806
75,9.520336158334664,3.489807171138796
77,12.117603006788798,4.694662355723995
79,7.138379581768604,2.812704179014682
81,8.963961159777538,3.440541550070962
83,7.62595720502816,2.942215936218169
85,9.071321040573309,3.345192855734534
87,7.316071183262462,2.715725364497204
89,8.629183017370064,4.061901977088705
9,9.474164926016013,3.958911911421911
91,7.299511784345922,3.153150213464696
93,8.069497801216268,3.831915513112885
95,9.99055861774551,3.902519403017144
97,8.1586715090522,3.310124583577666
99,12.653698706862712,4.840085062021242
