countyfips,DS_O3_pred,DS_O3_stdd
1,31.868148163761483,3.520694622927932
3,46.396663711001642,5.33909802955665
5,44.02339096317449,4.515012701528943
7,42.151412854945638,4.400108068947229
9,44.858142160737813,4.677321668186886
11,38.784059372697611,4.333354036417219
13,34.160865190337869,3.70099111909494
15,30.997788551142667,5.116245610531765
17,45.433380548021169,4.580367780550432
19,47.187697606469234,4.311180921978402
21,39.444862963913118,4.389786813750641
23,29.64325179103954,4.12431922429218
25,42.303526326942651,4.379718613071699
27,42.53207831600073,4.771662187557015
29,49.687862396779017,4.617911122946574
31,46.575608030634142,4.539433910184474
33,36.748193608324043,4.327557596027161
35,42.953153925682661,5.703639804171988
37,44.184865671621489,4.186685383794083
39,46.111031233305101,4.550721610528373
41,30.424496392136385,3.62434998114357
43,46.758877029739099,4.866600328407225
45,31.75868677770761,4.362534333228081
47,43.991379633797162,4.541047721533699
49,40.326197482211275,6.070749425287356
51,44.607674003762613,5.459982059175646
53,34.190487573661728,3.978762216204718
55,34.8638675,3.895179902846196
57,45.988757016728624,4.599490752788104
59,42.891609894830451,4.264539021660872
61,43.394050997421717,4.179230237493428
63,44.413242661662366,5.37311789819376
65,51.683789677257197,4.638262153505728
67,40.21023506656935,3.953751382478041
69,37.683054928407369,4.042365806577726
71,53.642738193232018,4.643094365087753
73,42.939960697729529,4.33269109554904
75,28.856940577650003,3.434808868125433
77,39.777317235898532,4.141654343743323
79,37.249823714981611,4.054098256237082
81,30.299276769477323,3.657033050162636
83,37.239073219634776,3.934889976047975
85,35.767812607315031,3.885585184463497
87,33.952348249862194,3.894079902945114
89,38.914869654408106,4.151092652779663
91,45.860944608648057,5.254391351943076
93,37.528693416951729,4.973296997339415
95,35.394891065612702,3.787029134437056
97,32.47836948877654,3.937758532101368
99,42.909083558763164,4.300251599318103
101,39.902006338780723,4.118296410978184
103,40.383463958480774,4.389962269403161
105,36.469700467556164,4.932313000342114
107,49.045732597457404,4.678210071477554
109,46.10800564014299,4.812979045853745
111,43.203742284505093,4.333011363572898
113,38.474047895938158,3.96000050820313
115,41.311427462784588,4.29196707895505
