,county,avg_population,fips,avg_asthma_prevalence,num_asthma_cases,avg_number_ed_visits,DS_PM_pred,DS_PM_stdd,DS_O3_pred,DS_O3_stdd,predicted_num_ed_visits,ed_visit_rate,predicted_ed_visit_rate,rate_difference
0,Alameda,1662307.75,6001,8.466666666666667,140742.05616666668,8642.0,10.095239860894212,3.627715254816647,31.86814816376148,3.520694622927932,12592.851480957184,0.005198796672878412,0.007575523534049086,0.002376726861170674
1,Alpine,1094.0,6003,9.933333333333334,108.67066666666666,0.0,6.623338806787083,2.938604575807334,46.39666371100164,5.33909802955665,7.55033212287081,0.0,0.006901583293300557,0.006901583293300557
2,Amador,38778.75,6005,9.933333333333334,3852.0225,173.0,8.86255489321197,3.681367641739544,44.02339096317449,4.515012701528943,303.3162520413853,0.00446120620185024,0.007821712975312131,0.003360506773461891
3,Butte,226113.0,6007,11.233333333333334,25400.027,882.0,10.568622592840097,4.342972918695306,42.15141285494564,4.400108068947229,2198.981874752797,0.0039007045149991376,0.009725145722505105,0.005824441207505968
4,Calaveras,45651.5,6009,9.933333333333334,4534.715666666666,187.8,9.474164926016012,3.958911911421911,44.85814216073781,4.677321668186886,366.39923768830784,0.004113775012869238,0.008026006542792851,0.003912231529923613
5,Colusa,21510.0,6011,10.2,2194.02,89.4,9.147885385748868,3.790137778128618,38.784059372697605,4.333354036417219,180.36593310534067,0.004156206415620642,0.008385213068588596,0.004229006652967954
6,Contra Costa,1146712.0,6013,10.866666666666667,124609.37066666668,6299.2,10.545637636956632,3.922337678999134,34.160865190337866,3.70099111909494,11257.106243007844,0.005493271196255031,0.009816855708327674,0.004323584512072642
7,Del Norte,27571.25,6015,9.466666666666669,2610.0783333333334,142.2,7.281131077583019,3.871375754012277,30.99778855114267,5.116245610531765,204.1557280692307,0.005157546357165525,0.007404659856525573,0.0022471134993600475
8,El Dorado,189561.0,6017,9.2,17439.612,581.8,7.861665919134932,3.201081521825612,45.43338054802117,4.580367780550432,1296.2057714355112,0.003069196722954616,0.006837934867591494,0.0037687381446368778
9,Fresno,988279.75,6019,12.466666666666669,123205.5421666667,7235.2,14.17678964536612,5.324745618712961,47.18769760646923,4.311180921978402,12383.290646340161,0.007321003997096976,0.012530147102923196,0.0052091431058262205
10,Glenn,28031.5,6021,10.2,2859.213,114.6,9.859770301864204,4.235746733367539,39.44486296391312,4.389786813750641,242.59565615310638,0.004088257852772773,0.008654394383215538,0.004566136530442765
11,Humboldt,136149.75,6023,11.466666666666669,15611.838,760.6,7.096541763673999,3.730685558186858,29.64325179103954,4.12431922429218,1219.0602557124596,0.00558649575192022,0.008953819274089446,0.0033673235221692256
12,Imperial,181141.5,6025,11.366666666666667,20589.7505,1262.2,9.433222043683568,4.031476122540922,42.303526326942645,4.379718613071699,1683.7944375366721,0.006968033277851845,0.009295464802580701,0.0023274315247288563
13,Inyo,17943.75,6027,9.933333333333334,1782.4125,92.4,6.67685436325488,2.794711484583105,42.53207831600073,4.771662187557015,126.8792806757014,0.005149425287356322,0.007070945631526375,0.001921520344170053
14,Kern,890543.0,6029,11.866666666666667,105677.76933333332,4860.8,12.533500595497529,5.088854830562858,49.68786239677902,4.617911122946574,9670.726267102375,0.0054582428922578695,0.010859359140549502,0.005401116248291632
15,Kings,150842.25,6031,12.966666666666669,19559.21175,987.4,14.688342779516864,5.819294559683421,46.57560803063414,4.539433910184474,2021.9179653507279,0.006545911374299972,0.013404188583442158,0.0068582772091421865
16,Lake,64179.25,6033,12.866666666666667,8257.730166666668,492.2,7.86159985068072,3.30599938954765,36.74819360832404,4.327557596027161,644.0279088543748,0.0076691454013563575,0.010034830710149694,0.0023656853087933366
17,Lassen,30708.0,6035,9.466666666666669,2907.024,122.2,7.579007851365323,3.808171980782096,42.95315392568266,5.703639804171988,215.98923531452022,0.003979419043897356,0.007033647105461776,0.00305422806156442
