countyfips,DS_O3_pred,DS_O3_stdd
6001,-1.472057558934558,-1.6558512339886329
6003,1.015828040159221,1.7263849820723827
6005,0.6094251235747734,0.19358360729529775
6007,0.2888646807588471,-0.020139380846029398
6009,0.7523692169676167,0.4954788100983489
6011,-0.28776616692156737,-0.14430209719822773
6013,-1.0794491293486441,-1.3204991681367955
6015,-1.6210992927047034,1.3118787621020902
6017,0.8508739330974108,0.31514426559819075
6019,1.1512859147459127,-0.18554416175026858
6021,-0.17460913218742902,-0.0393369488850308
6023,-1.8530522742702478,-0.5331075236561501
6025,0.3149128282918132,-0.05806383470297063
6027,0.35405042637421724,0.6709524811729247
6029,1.5794180220453826,0.3849750038498472
6031,1.0464707437723852,0.239007134359546
6033,-0.6363909868767759,-0.15508349506628538
6035,0.4261560686919776,2.404433861587539
6037,0.6370763037973434,-0.4171062653242338
6039,0.9669158904227888,0.26000229349750603
6041,-1.7192707336772848,-1.4630519325422675
6043,1.0778540122247604,0.847537730132835
6045,-1.490801896932118,-0.09002665077675237
6047,0.6039434537436913,0.2420088286872962
6049,-0.023688038499041376,3.0872589438957774
6051,0.7094786602039892,1.951229668037184
6053,-1.0743765463553823,-0.8038440293513471
6055,-0.9590659204343431,-0.9593074024581227
6057,0.9459774633982274,0.35071305579359413
6059,0.4156171731269381,-0.27229824715551443
6061,0.5016559690015167,-0.4309728615493575
6063,0.6761839347758583,1.7896620477392333
6065,1.9212037139004159,0.4228279864940826
6067,-0.04354562291457075,-0.8503642609544544
6069,-0.47630388039830795,-0.6855411455979948
6071,2.2566571046073323,0.43181591566140415
6073,0.4238968398173243,-0.1455351693566325
6075,-1.9877014294325168,-1.8155990156292883
6077,-0.11767914557315094,-0.5008641454246393
6079,-0.5504910672072595,-0.6637187512952053
6081,-1.740713536620536,-1.4022613184874635
6083,-0.5523319987511289,-0.8854465379019482
6085,-0.804272954315547,-0.9771536096740647
6087,-1.1151558945504803,-0.9613534058309396
6089,-0.2653660108269716,-0.48330886009866664
6091,0.924090667846733,1.5688302878156233
6093,-0.5027369857046369,1.0459938793459387
6095,-0.868132619136521,-1.1604681814001236
6097,-1.3675623101372172,-0.8801110143672808
6099,0.41860939051626905,-0.20587273723793448
6101,-0.09632718966162908,-0.5443099758946991
6103,-0.013881638033798459,-0.03901060080401553
6105,-0.6840805854534465,0.9697635124109126
6107,1.4694587164792554,0.49713124309160506
6109,0.9663977831438817,0.7478019712011809
6111,0.4690672090068809,-0.14493946979668396
6113,-0.3408530143751685,-0.8387408668995007
6115,0.14502427574213594,-0.2212819719008639
